                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5403,                 2.2556,                 1.3609,                0.83344,                0.75609,                0.81809,                0.52012,                  1.226,                 1.3404,                 1.1261,             0.00047255,             0.00047255,             0.00047255
                      2,                 1.3915,                  1.371,                 1.2718,                0.77918,                0.76699,                0.83869,                0.56014,                 1.1412,                 1.0552,                 1.1475,             0.00091131,             0.00091131,             0.00091131
                      3,                 1.3573,                 1.1694,                  1.254,                0.82495,                0.83118,                0.88443,                0.58872,                  1.176,                 0.8899,                 1.1506,              0.0013123,              0.0013123,              0.0013123
                      4,                 1.3558,                 1.0784,                 1.2528,                0.82609,                0.72085,                0.83177,                0.56587,                 1.2109,                 1.0751,                 1.1408,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.3264,                0.99998,                 1.2344,                0.85334,                 0.7856,                0.87512,                0.59106,                  1.169,                  0.902,                 1.1427,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.3048,                0.94817,                  1.224,                0.89545,                0.82281,                0.90436,                0.62117,                 1.1556,                0.76426,                 1.1328,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.2874,                0.90356,                 1.2152,                0.87435,                0.79076,                0.88426,                0.60334,                 1.1365,                 0.8621,                 1.1335,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.2732,                0.86773,                 1.2081,                0.89209,                0.84668,                0.91969,                0.63458,                 1.0909,                0.74986,                 1.1074,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.2613,                 0.8297,                 1.2007,                0.90526,                0.85855,                0.92647,                 0.6373,                 1.0838,                0.67051,                 1.0989,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.2295,                0.80459,                 1.1846,                0.86424,                0.80736,                0.89587,                0.61956,                 1.1245,                0.78253,                  1.148,              0.0009197,              0.0009197,              0.0009197
                     11,                  1.214,                0.76968,                 1.1786,                0.90616,                0.86641,                0.92452,                0.65498,                 1.0927,                0.66326,                 1.0829,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.2126,                0.76464,                 1.1752,                0.91977,                0.85006,                0.93355,                0.63456,                 1.2191,                0.64765,                 1.1385,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.2017,                0.75065,                 1.1661,                0.92198,                0.84206,                0.93273,                0.66176,                 1.0828,                0.62624,                 1.0929,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.1823,                0.72662,                  1.159,                0.91966,                0.86266,                0.93491,                0.64742,                 1.0751,                0.63869,                  1.101,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.1648,                0.70963,                 1.1527,                0.89344,                0.82981,                0.91815,                0.65291,                 1.0516,                0.69815,                    1.1,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.1335,                 0.6304,                 1.1551,                0.89932,                 0.8789,                0.93731,                0.66359,                  1.086,                 0.6323,                 1.0953,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.1133,                0.60824,                 1.1398,                0.89322,                0.89963,                0.94565,                0.68409,                 1.0612,                0.58686,                 1.0892,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.0986,                0.59383,                 1.1327,                0.90229,                0.87063,                0.93549,                 0.6817,                 1.0359,                0.61401,                  1.077,               0.000467,               0.000467,               0.000467
                     19,                  1.081,                0.57448,                 1.1258,                0.91055,                0.88804,                 0.9439,                0.68608,                 1.0396,                0.58801,                 1.0812,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.0722,                0.55964,                 1.1191,                0.89052,                0.86764,                0.93721,                0.68138,                 1.0459,                0.60923,                   1.09,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.0547,                0.54067,                 1.1078,                0.91476,                0.86652,                0.94428,                0.68661,                 1.0465,                0.57679,                 1.0766,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.0415,                0.53254,                 1.1001,                0.92578,                0.87192,                 0.9485,                0.69708,                 1.0445,                0.56922,                 1.0731,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.0195,                0.50887,                 1.0902,                0.92652,                0.87421,                0.94395,                0.68699,                 1.0381,                0.57342,                 1.0781,             0.00018406,             0.00018406,             0.00018406
                     24,                 1.0092,                0.49897,                 1.0804,                0.90516,                0.88862,                0.94159,                0.68991,                 1.0483,                0.58683,                 1.0798,             0.00012747,             0.00012747,             0.00012747
                     25,                0.99963,                0.48428,                 1.0753,                0.90014,                0.89293,                0.94626,                0.68696,                 1.0494,                0.57446,                 1.0832,             7.0878e-05,             7.0878e-05,             7.0878e-05
